listing_id,building,floor,rooms,area,price,status,url,area_m2,price_eur,price_per_m2
U176,U,17,5.0,"117,41 m²",543 589 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u176/,117.41,543589.0,4629.8356187718255
U146,U,14,5.0,"117,65 m²",-,Nedostupný,,117.65,,
U156,U,15,5.0,"118,61 m²",540 588 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u156/,118.61,540588.0,4557.693280499115
U166,U,16,5.0,"117,39 m²",540 598 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u166/,117.39,540598.0,4605.145242354544
U07,U,0,2.0,"48,54 m²",-,Nedostupný,,48.54,,
U06,U,0,2.0,"45,62 m²",-,Nedostupný,,45.62,,
U05,U,0,1.0,"52,75 m²",-,Nedostupný,,52.75,,
U04,U,0,2.0,"58,33 m²",-,Nedostupný,,58.33,,
U03,U,0,1.0,"33,29 m²",-,Predaný,,33.29,,
U02,U,0,2.0,"46,48 m²",-,Predaný,,46.48,,
U01,U,0,2.0,"57,32 m²",-,Nedostupný,,57.32,,
U195,U,19,4.0,"116,43 m²",-,Predaný,,116.43,,
U194,U,19,2.0,"47,59 m²",-,Nedostupný,,47.59,,
U193,U,19,4.0,"102,73 m²",-,Nedostupný,,102.73,,
U192,U,19,4.0,"101,11 m²",-,Nedostupný,,101.11,,
U191,U,19,4.0,"105,78 m²",-,Nedostupný,,105.78,,
U185,U,18,4.0,"119,12 m²",-,Predaný,,119.12,,
U184,U,18,2.0,"47,23 m²",-,Nedostupný,,47.23,,
U183,U,18,4.0,"103,17 m²",-,Nedostupný,,103.17,,
U182,U,18,4.0,"100,87 m²",-,Nedostupný,,100.87,,
U181,U,18,4.0,"108,65 m²",-,Nedostupný,,108.65,,
U175,U,17,4.0,"118,03 m²",543 589 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u175/,118.03,543589.0,4605.515546894857
U174,U,17,2.0,"47,59 m²",-,Nedostupný,,47.59,,
U173,U,17,4.0,"102,42 m²",-,Predaný,,102.42,,
U172,U,17,4.0,"100,43 m²",-,Nedostupný,,100.43,,
U171,U,17,4.0,"107,33 m²",-,Nedostupný,,107.33,,
U165,U,16,4.0,"118,01 m²",540 598 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u165/,118.01,540598.0,4580.9507668841625
U164,U,16,2.0,"47,59 m²",-,Nedostupný,,47.59,,
U163,U,16,4.0,"102,95 m²",-,Nedostupný,,102.95,,
U162,U,16,4.0,"101,11 m²",-,Nedostupný,,101.11,,
U161,U,16,4.0,"106,97 m²",-,Predaný,,106.97,,
U155,U,15,4.0,"119,23 m²",540 588 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u155/,119.23,540588.0,4533.993122536274
U154,U,15,2.0,"47,23 m²",-,Nedostupný,,47.23,,
U153,U,15,4.0,"103,24 m²",-,Nedostupný,,103.24,,
U152,U,15,4.0,"100,87 m²",-,Nedostupný,,100.87,,
U151,U,15,4.0,"108,54 m²",-,Nedostupný,,108.54,,
U145,U,14,4.0,"117,65 m²",523 435 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/u145/,117.65,523435.0,4449.086272843178
U144,U,14,2.0,"47,52 m²",-,Nedostupný,,47.52,,
U143,U,14,4.0,"102,79 m²",-,Predaný,,102.79,,
